link,image,title,level,likes,students
/portal/course/veri-bilimine-giris-35390,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/8b699d67-f950-4ff7-834f-9ea98d464105/391_0x220.png?t=1728030396861,Veri Bilimine Giriş,Temel Seviye,1,2.8K
/portal/course/kubernetes-35490,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/30958c38-0887-4a29-8668-5d15e16bc888/343_0x220.png?t=1728894443848,Kubernetes,Orta Seviye,1,1.1K
/portal/course/sizma-testi-34000,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/94fc306a-15e3-43ee-9aa1-f271dc110e72/241_0x220.png?t=1724052378360,Sızma Testi,Temel Seviye,1,4.3K
/portal/course/elasticsearch-v8-31252,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/29ebb59b-472b-489a-816d-8033e9a31cdc/233_0x220.png?t=1721657186088,Elasticsearch v8,Orta Seviye,9,1.3K
/portal/course/ileri-seviye-python-programlama-dili-30852,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/884316f4-1a56-4b0c-b6e3-b07241275c92/210_ileri_seviye_python_0x220.png?t=1721216206652,İleri Seviye Python Programlama Dili,Genel Seviye,95,5.7K
/portal/course/veri-tabanina-giris-30686,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/7b0d1b80-7c63-49a3-b0ca-2503c1fc9463/161_0x220.png?t=1721139183214,Veri Tabanına Giriş,Temel Seviye,112,8.8K
/portal/course/python-ile-makine-ogrenmesi-uygulamalari-30284,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/91e78ed2-6e25-44aa-ac60-97f98bee6893/342_2_0x220.png?t=1717746301659,Python ile Makine Öğrenmesi Uygulamaları,Orta Seviye,61,5.5K
/portal/course/kotlin-ile-android-mobil-uygulama-gelistirme-ileri-seviye-30303,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/5f8a9a7b-74ac-4c62-857e-bfdef090bc12/356_0x220.png?t=1716465831398,Kotlin ile Android Mobil Uygulama Geliştirme İleri Seviye,İleri Seviye,45,3.5K
/portal/course/kotlin-ile-android-mobil-uygulama-gelistirme-temelleri-30370,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/b0765694-9652-4c90-8c3e-cd4276fc052a/228_0x220.png?t=1716453316865,Kotlin ile Android Mobil Uygulama Geliştirme Temelleri ,Orta Seviye,78,4.3K
/portal/course/kotlin-programlama-dili-30052,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/32086c27-8c6e-4415-955c-f2fcba425c8c/227_0x220.png?t=1714401664331,Kotlin Programlama Dili,Temel Seviye,147,7.4K
/portal/course/makine-ogrenmesi-30123,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/f192b9b7-b448-4a44-8df2-21b09278b725/341_0x220.png?t=1714725343997,Makine Öğrenmesi,Orta Seviye,111,6.3K
/portal/course/python-programlama-dili-29055,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/15a9c356-3e74-4a35-bb95-1022024a18af/338_0x220.png?t=1709211256068,Python Programlama Dili,Orta Seviye,193,13.7K
